date,skill,model,input_tokens,output_tokens,cache_read,cache_creation
2026-06-28,heartbeat,claude-sonnet-4-6,13,4440,481084,28549
2026-06-28,heartbeat,claude-sonnet-4-6,10,5750,348268,30097
2026-06-28,heartbeat,claude-sonnet-4-6,10,8173,354344,32669
2026-06-28,autoresearch,claude-sonnet-4-6,3,484,45451,10694
2026-06-28,heartbeat,claude-sonnet-4-6,10,6361,356611,31675
2026-06-28,heartbeat,claude-sonnet-4-6,388,8118,312653,33510
2026-06-28,install-skill,claude-sonnet-4-6,53,16917,4432573,111379
2026-06-28,morning-briefing,claude-sonnet-4-6,17,5218,475249,20243
2026-06-28,morning-briefing,claude-sonnet-4-6,81,10399,1012358,37530
2026-06-29,morning-briefing,claude-haiku-4-5-20251001,86,4228,347058,33608
